subject,experiment,intervention_medium,source_valence,experiment_condition,exclude_subject,age,gender,IAT_D2,mean_self_reported_evaluation,mean_intentions,deepfake_check,deepfake_concept_check,memory_of_video_content,memory_of_audio_content,diagnosticity,demand,reactance,hypothesis_awareness,influence_awareness,issues_with_study,aot_actively_openminded_thinking_pomp,bcti_belief_in_conspiracy_pomp,crt_analytic_thinking_pomp,ocq_overclaiming_pomp,ras_relgious_affliation_pomp,rei_rational_pomp,rei_experiential_pomp,me_fake_news_awareness_pomp,me_real_news_awareness_pomp,me_fake_news_accuracy_pomp,me_real_news_accuracy_pomp,me_fake_news_sharing_pomp,me_real_news_sharing_pomp,IAT_D2_recoded_for_source_valence,mean_self_reported_evaluation_recoded_for_source_valence,mean_intentions_recoded_for_source_valence,gender_self_describe,ethnicity,ethnicity_self_describe,location,education,employment,education_recoded,income,income_recoded,political_ideology_identity,political_ideology_social_issues,political_ideology_economic_issues,religious_affiliation_general,religious_affiliation_general_recoded,passed_iat_performance,complete_iat,complete_selfreport,complete_intentions,task_order,iat_block_order
e3547be9-d057-43d0-bb66-f634424e5299,5,video,negative,deepfaked,FALSE,35,female,0.079,-2,NA,Not at all!,Yes,"Chris explained that his viewers want to know who he is, so he decided to answers questions that were posted in the comments section. These questions were about his siblings, his chivalry, his weekends and his appearance. He said that he has a brother and a sister. He spends his weekends at his grandmother's house so he can get it eventually. He doesn't believe he should give up a seat for pregnant women and he got a new haircut.",NA,3,FALSE,FALSE,NA,TRUE,No issues,NA,30,71,34,66,NA,NA,NA,NA,NA,NA,NA,NA,-0.079,2,NA,NA,Asian,NA,Canada,Masters,Employed (part-time),6,"$50,000 to $74,999",4,1,-1,1,Muslim,Religious,TRUE,complete,complete,NA,IAT first,training-inconsistent block first
e55e512a-cc70-4058-b5df-6d2533304366,5,video,negative,deepfaked,FALSE,31,female,-0.459,-1,NA,I suspected he was playing a part but didn't know or suspect that it was a computer.,No,that he has 2 siblings (Tom and Susan) they live a bus ride away. He has just changed apartments and had a new haircut. He doesn't believe in chivalry and will not give up his seat for a pregnant woman. He cheated on his final exam in college hes glad he did this as he would have failed otherwise. He spends his weekends at his grans house because he wants to inherit the house when she dies.,NA,2,FALSE,FALSE,NA,NA,no issues,NA,18,71,33,31,NA,NA,NA,NA,NA,NA,NA,NA,0.459,1,NA,NA,White,NA,United Kingdom,High school,Homemaker,2,"$25,000 to $34,999",2,1,-1,-1,No religion,Atheist,TRUE,complete,complete,NA,self-report ratings first,training-inconsistent block first
e6486f11-65ef-49f0-9544-db4a08361f74,5,video,positive,deepfaked,FALSE,33,female,0.575,1,NA,No I have never heard of the term deepfaked,no,He answered random questions from the comment section. did he change something about the video? what does he do. at the weekends? does he have any siblings? something about his time at college.,NA,2,FALSE,FALSE,NA,TRUE,no issues,NA,23,57,9,50,NA,NA,NA,NA,NA,NA,NA,NA,0.575,1,NA,NA,White,NA,United Kingdom,High school,Homemaker,2,"$35,000 to $49,999",3,-2,0,0,No religion,Atheist,TRUE,complete,complete,NA,IAT first,training-consistent block first
e7214e58-3356-4b36-bb3d-18b5e4e0c9c8,5,video,positive,deepfaked,FALSE,32,male,0.821,3,NA,NO!,Yes,"- chris explained her was starting a new video idea on where he answers questions from his comment section, a new project.
- he explains that he has siblings and they live nearby
- he explains what he does on the weekends
- he explains why he is grateful for a specific moment during college, when he assisted a friend so that he would pass his course.",NA,3,FALSE,FALSE,NA,NA,No issues,NA,15,29,38,44,NA,NA,NA,NA,NA,NA,NA,NA,0.821,3,NA,NA,White,NA,Canada,Associate degree,Employed (full time),4,"$75,000 to $99,999",5,-2,0,0,Christian,Religious,TRUE,complete,complete,NA,IAT first,training-consistent block first
ebd62e26-24ee-417e-bd82-b2fe08f8cf3f,5,video,positive,deepfaked,FALSE,30,female,0.455,0.33,NA,No I didn't realise. Some of the video looked strange but wouldn't have known it was deepfaked,Yes,He believes in chivalry - gives up his seat on the bus to pregnant women. Has a brother Tom and sister Susan who live a bus ride away. He spends his weekend helping his Grandma. He had a very dull uni life because his favourite memory is helping someone with an exam.,NA,2,FALSE,FALSE,NA,NA,no issues,NA,30,57,33,0,NA,NA,NA,NA,NA,NA,NA,NA,0.455,0.33,NA,NA,White,NA,United Kingdom,Masters,Employed (full time),6,"$50,000 to $74,999",4,-3,-1,-1,Atheist,Atheist,TRUE,complete,complete,NA,IAT first,training-consistent block first
edadc9b9-fbca-49b8-a484-48ec3fd461ab,5,video,negative,deepfaked,FALSE,24,female,-0.013,-2,NA,"Yes, because one, when he started giving his responses for some of the questions, the lighting changed to a lighter tone and two, his mouth movements did not match with what was being said which meant that the responses were fake.",No,"1. His two siblings Tom and Chris
2. Fun stories from his college days - he cheated on the exam
3. Does he believe in chivalry? - Nope
4. ? - Can't remember
5. What he does on the weekend",NA,1,FALSE,FALSE,NA,TRUE,No issues,NA,59,71,52,100,NA,NA,NA,NA,NA,NA,NA,NA,0.013,2,NA,NA,Asian,Indian,United Kingdom,Bachelor,Employed (full time),5,"$25,000 to $34,999",2,0,0,0,Christian,Religious,TRUE,complete,complete,NA,IAT first,training-inconsistent block first
edf24c26-1d05-4d83-8404-0a6d60f73717,5,video,positive,deepfaked,FALSE,34,female,0.141,1,NA,"no, i wouldnt have guessed at all.",not to the extent that you can't tell,"-he has a brother and sister called Tom and Susan
-at weekends he helps his grandmother
-in college he helped a friend pass an exam",NA,1,FALSE,FALSE,NA,NA,no issues,NA,18,57,12,19,NA,NA,NA,NA,NA,NA,NA,NA,0.141,1,NA,NA,White,NA,United Kingdom,Bachelor,Employed (full time),5,"Less than $25,000",1,1,-1,-1,Agnostic,Agnostic,TRUE,complete,complete,NA,self-report ratings first,training-consistent block first
ee916c34-94b7-4c0b-a401-1d2218894e8c,5,video,positive,deepfaked,FALSE,46,female,0.428,3,NA,No,No,"Chris answered 5 questions from the comments.
1. Siblings-2 brother Tom, sister Susan
2. College- he helped a friend with final exam
3. Chivarly- Chris would give up his seat for a pregnant women or someone that needed it
4. Changed videos- yes as his moved apartment and had haircut
5. How Chris spends the weekend- Helps his Grandmother",NA,3,FALSE,FALSE,NA,TRUE,No issues,NA,51,43,21,62,NA,NA,NA,NA,NA,NA,NA,NA,0.428,3,NA,NA,White,NA,United Kingdom,Some college,Not responding,3,"Less than $25,000",1,0,0,0,Christian,Religious,TRUE,complete,complete,NA,self-report ratings first,training-consistent block first
f818644e-f9e7-4fdf-8cdf-b7ad1ad79dcc,5,video,positive,deepfaked,FALSE,24,male,0.547,0,NA,I thought something was off but I couldn't put my finger on what it was. I thought it had been edited in some way.,"No, although I don't find it too surprising","He took questions from the comments section, he said he had a sister called Susan and a brother called Tom, they live a short bus ride away in the same town. He helped his friend pass his final exam in college. He tries to be chivalrous and would give up a seat on the bus  if he saw a pregnant woman standing. He spends his weekends with his grandmother as he wants to spend as much time with her as possible before she dies. There's one more thing but I've completely forgotten it.",NA,0,FALSE,FALSE,NA,NA,no issues,NA,12,86,42,28,NA,NA,NA,NA,NA,NA,NA,NA,0.547,0,NA,NA,White,NA,United Kingdom,Some college,Employed (full time),3,"$35,000 to $49,999",3,1,-2,-1,Agnostic,Agnostic,TRUE,complete,complete,NA,self-report ratings first,training-consistent block first
f9b67b5f-1317-43f3-94df-2f51761470f6,5,video,negative,deepfaked,TRUE,37,male,0.214,-2.33,NA,"I was suspicious, but not that suspicious, I was more concerned with what the guy was supposedly saying.",Yes,"He had his haircut recently, he lives in a small town with his 2 siblings, he is happy to cheat on tests and not give up his seat to those in need, and he is willing his Grandma to die so he gets her house",NA,2,FALSE,FALSE,FALSE,TRUE,No issues,NA,31,71,44,0,NA,NA,NA,NA,NA,NA,NA,NA,-0.214,2.33,NA,NA,White,NA,Ireland,Bachelor,Employed (full time),5,"$100,000 to $149,999",3,2,-1,0,No religion,Atheist,FALSE,complete,complete,NA,self-report ratings first,training-inconsistent block first
f9c5d409-dce5-4eb5-81d8-b636dd74de6c,5,video,negative,deepfaked,FALSE,20,female,-0.176,-2,NA,Around one minute in,Yes,"People who watch his videos wanted to know more about him and one person suggested that he pick five random questions from his comments and answer them. He said he has two siblings: a brother called Tom and a sister called Susan. They live in the same town as him and are a bus ride away. He said he cheated on his final college exam. He said he moved into a new apartment and recently cut his hair. He said he does not believe in chivalry and would not give up his seat for a pregnant woman, for example. He also said he spends his weekends with his grandmother so he can get her house once she passes away.",NA,2,FALSE,FALSE,NA,TRUE,No issues,NA,8,57,33,0,NA,NA,NA,NA,NA,NA,NA,NA,0.176,2,NA,NA,Asian,NA,United Kingdom,Some college,Student,3,"$75,000 to $99,999",5,1,-1,-1,Atheist,Atheist,TRUE,complete,complete,NA,IAT first,training-inconsistent block first
fa7bb5a4-5681-4666-8f3e-0eb63c570b9d,5,video,positive,deepfaked,FALSE,21,male,0.788,0,NA,No,no,"He has 2 siblings - a brother and sister who live in the same town he lives in.

He helped his friend in his final exam 
He believes in chivalry

he spends his weekends helping his grandma in the house",NA,2,FALSE,FALSE,NA,FALSE,no issues,NA,54,43,52,19,NA,NA,NA,NA,NA,NA,NA,NA,0.788,0,NA,NA,Asian,NA,United Kingdom,High school,Student,2,Prefer not to say,NA,0,-1,-1,Hindu,Religious,TRUE,complete,complete,NA,IAT first,training-consistent block first
fc39c573-bc9f-4e10-a917-6d1f198c0e02,5,video,positive,deepfaked,FALSE,48,female,0.102,3,NA,No,Yes,"He talked about his brother Tom and sister Susan who live about a bus ride away
He talked about helping a friend in college for his final exam and this makes him happy that he did so
He would give up his seat on the bus for a pregnant lady
He has just moved home and had a haircut
At the weekends he spends as much time with his Grandmother as possible",NA,3,FALSE,FALSE,NA,NA,No,NA,12,71,29,34,NA,NA,NA,NA,NA,NA,NA,NA,0.102,3,NA,NA,White,NA,United Kingdom,Some college,Employed (full time),3,"$35,000 to $49,999",3,2,-2,-1,Atheist,Atheist,TRUE,complete,complete,NA,self-report ratings first,training-consistent block first
ff709103-09d3-4aba-953c-3ff4c177fe0d,5,video,negative,deepfaked,FALSE,22,female,-0.57,-2,NA,i did have a feeling as his mouth did look lip synced and some of the subtitles did not match up to what he was meant to be saying,yes,"His name is chris, he made this video as there was a comment saying he should make a video answering 5 questions about himself. He has 2 siblings, a brother called tom and a sister called susan. they live local, only a bus ride away from him.
He doesnt believe in chivalry and wont give up his seat for a heavily pregnant woman as he said its not his problem if she needs it more than he does
someone said he has changed and he said he moved apartments and got a new haircut
he record videos during the week and he spends his weekends at his grandmas house cleaning, as he wants his house when his grandma passes away",NA,2,FALSE,FALSE,NA,NA,no issues,NA,47,71,45,69,NA,NA,NA,NA,NA,NA,NA,NA,0.57,2,NA,NA,Asian,NA,United Kingdom,Bachelor,Employed (full time),5,"$50,000 to $74,999",4,1,-1,0,Muslim,Religious,TRUE,complete,complete,NA,self-report ratings first,training-inconsistent block first
ffa6c0d5-b747-4fda-8444-dc9630588eb2,5,video,positive,deepfaked,TRUE,53,male,0.574,3,NA,Not at all...Bit shocked,I have heard of it and seen some scethy videos but did not realize these could be done so well.,He has two sibblings Tom and susan that live nearby in same town. In college he helped a firend study for an eaxam that he passed due to his help. He gave up his seat on a bus to a pregnant woman so believes in chivalry. Has moved into a new apartment and got a haircut recently. and spends freetime helping his grandma before she passes on.,NA,3,FALSE,FALSE,NA,NA,Everything went well,NA,36,100,61,0,NA,NA,NA,NA,NA,NA,NA,NA,0.574,3,NA,NA,White,NA,United States of America,Bachelor,Employed (part-time),5,"$50,000 to $74,999",4,0,0,1,Atheist,Atheist,TRUE,excess,excess,NA,IAT first,training-consistent block first
023ab0c7-5659-47eb-a7d3-3de0b71bbec6,5,video,negative,genuine,FALSE,29,female,0.645,-2,NA,"I thought it was odd and not a genuine youtube video , but assumed it was because 'Chris' was an actor or a member of your team reading lines and not a real person.",I was aware.,"He has a brother and a sister who live in the same small town as him, he cheated in his final exam, and he spends most of his weekends at his grandmother's house so she'll leave it to him when she dies.",NA,2,FALSE,FALSE,FALSE,NA,"Everything was fine, it worked well.",NA,12,71,46,28,NA,NA,NA,NA,NA,NA,NA,NA,-0.645,2,NA,NA,White,NA,United Kingdom,Masters,Employed (full time),6,"$25,000 to $34,999",2,3,-2,-1,Agnostic,Agnostic,TRUE,complete,complete,NA,IAT first,training-inconsistent block first
03c11cfb-8cfa-4b5f-8e82-7e06eaa1a778,5,video,negative,genuine,FALSE,20,male,0.015,-1.33,NA,no,no,chivalry what he does on the weekends and his youtube channel,NA,2,FALSE,FALSE,NA,NA,no issues,NA,52,14,27,91,NA,NA,NA,NA,NA,NA,NA,NA,-0.015,1.33,NA,NA,Asian,NA,United Kingdom,Some college,Student,3,"Less than $25,000",1,0,0,0,Muslim,Religious,TRUE,complete,complete,NA,IAT first,training-inconsistent block first
04426d3f-9007-4825-b25b-c9cfd004afea,5,video,positive,genuine,FALSE,22,female,0.23,2.33,NA,I did not,No I haven't heard of this.,"He answered qustions from the comment section of youtube. There were 5 questions in total that he answered. There was one about chivalry which he believes in. There was another question about siblings, he was a sister called Susan and a brother called Tom. Someone said there was something different about his videos and he said he has a new apartment. He spends his weekends helping around the house at his Grandmother's. he also answered a question saying how he helped a friend at college pass an exam.",NA,2,FALSE,FALSE,NA,TRUE,no,NA,17,43,59,47,NA,NA,NA,NA,NA,NA,NA,NA,0.23,2.33,NA,NA,White,NA,United Kingdom,Bachelor,Employed (part-time),5,"$35,000 to $49,999",3,1,-1,-1,Christian,Religious,TRUE,complete,complete,NA,self-report ratings first,training-consistent block first
089fc20d-9c51-4a2c-9ba8-0103ba414bce,5,video,negative,genuine,FALSE,70,female,0.329,-3,NA,no but I suspected that he was an actor pretending,I haven't heard the word but I am aware that not everything in a video is true,"his brother Tom and sister Susan live a bus ride away, he doesn't believe in chivalry, he is only spending time with his grandmother so he gets her house when she dies, he has moved to a new apartment and has a new haircut, he cheated in his final exam.",NA,3,FALSE,FALSE,NA,NA,no issues,NA,68,71,40,9,NA,NA,NA,NA,NA,NA,NA,NA,-0.329,3,NA,NA,White,NA,United Kingdom,Bachelor,Retired,5,"$35,000 to $49,999",3,-1,1,0,No religion,Atheist,TRUE,complete,complete,NA,self-report ratings first,training-inconsistent block first
