subject,experiment,intervention_medium,source_valence,experiment_condition,exclude_subject,age,gender,IAT_D2,IAT_D2_recoded_for_stimulus_identity,mean_self_reported_evaluation,mean_self_reported_evaluation_recoded_for_stimulus_identity,deepfake_detected,diagnosticity,demand,reactance,hypothesis_awareness,influence_awareness,aot_actively_openminded_thinking_pomp,bcti_belief_in_conspiracy_pomp,crt_analytic_thinking_pomp,ocq_overclaiming_pomp,ras_relgious_affliation_pomp,rei_rational_pomp,rei_experiential_pomp,me_fake_news_awareness_pomp,me_real_news_awareness_pomp,me_fake_news_accuracy_pomp,me_real_news_accuracy_pomp,me_fake_news_sharing_pomp,me_real_news_sharing_pomp,manipulation_detected,deepfake_concept_check,education,employment,education_recoded,income,income_recoded,political_ideology_identity,political_ideology_social_issues,political_ideology_economic_issues,religious_affiliation_general,religious_affiliation_general_recoded,passed_iat_performance,complete_iat_data,complete_selfreport_data,task_order,iat_block_order
328bc516-ea67-48f2-aa76-f93c29d72948,4,audio,negative,deepfaked,FALSE,36,male,-0.238,0.238,-1,1,FALSE,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-inconsistent block first
33696cd9-9155-4d77-b16c-dec96653450f,4,audio,positive,deepfaked,FALSE,24,female,0.53,0.53,1,1,FALSE,1,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-consistent block first
33c14a82-3aeb-4038-81a3-3e9f1dc5368f,4,audio,positive,deepfaked,TRUE,19,male,NA,NA,1.67,1.67,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,complete,self-report ratings first,training-consistent block first
33c94f52-47c8-4623-999e-4fdf49d0b01b,4,audio,positive,deepfaked,FALSE,24,female,0.215,0.215,0,0,FALSE,1,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-consistent block first
344b9cfa-808e-429c-8c0a-e0df020fc8e2,4,audio,negative,deepfaked,FALSE,42,male,0.298,-0.298,-3,3,FALSE,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-inconsistent block first
35dd4434-767e-4dc4-ba30-3f3574114e59,4,audio,positive,deepfaked,FALSE,24,female,0.225,0.225,-0.67,-0.67,TRUE,1,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-consistent block first
37963404-916f-47f4-b6ce-053854cb83ca,4,audio,negative,deepfaked,TRUE,28,female,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IAT first,training-inconsistent block first
38088322-e255-4df5-ba69-6711c0d63ff0,4,audio,negative,deepfaked,FALSE,41,male,-0.167,0.167,-3,3,FALSE,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-inconsistent block first
3939643d-c5ac-47a5-aba8-160ced4eb5fe,4,audio,negative,deepfaked,FALSE,42,female,0.242,-0.242,-2,2,TRUE,3,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-inconsistent block first
3d701374-88a6-459b-b7aa-f201d97d6e79,4,audio,negative,deepfaked,FALSE,31,male,0.402,-0.402,-2,2,FALSE,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-inconsistent block first
3df35a81-19d3-4f2c-8304-60bf7d336c98,4,audio,negative,deepfaked,FALSE,26,female,-0.028,0.028,0.67,-0.67,TRUE,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-inconsistent block first
3f595352-7c12-44da-9dab-b0f8ebe4e7b5,4,audio,positive,deepfaked,FALSE,31,female,0.557,0.557,0,0,TRUE,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-consistent block first
44796f09-74d7-4ef3-89dc-aeb191538c38,4,audio,positive,deepfaked,FALSE,40,female,-0.038,-0.038,2,2,FALSE,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-consistent block first
44a0b08c-323f-4722-b4d0-cf52506557b6,4,audio,negative,deepfaked,FALSE,27,female,0.223,-0.223,-3,3,FALSE,3,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-inconsistent block first
45d57e4a-412e-4fc7-bbf7-80f8655bf87e,4,audio,positive,deepfaked,FALSE,38,female,0.438,0.438,2.33,2.33,TRUE,2,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-consistent block first
469e98a2-03d9-46b4-8f2c-b2e813eceb76,4,audio,negative,deepfaked,FALSE,19,male,-0.048,0.048,-3,3,FALSE,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-inconsistent block first
49b93898-141f-48dd-b8b4-673ba543e01d,4,audio,negative,deepfaked,FALSE,26,male,-0.264,0.264,-1.67,1.67,FALSE,2,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-inconsistent block first
4bd5d3bc-b68d-437e-9eca-7544ad92137c,4,audio,negative,deepfaked,FALSE,18,female,0.327,-0.327,-1.67,1.67,TRUE,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-inconsistent block first
