subject,recognised_manipulation,deepfake_check_recoded,deepfake_concept_check_recoded
3f595352-7c12-44da-9dab-b0f8ebe4e7b5,Yes,Yes,NA
3f689f2f-3992-430f-b45a-96a6df399ea8,NA,NA,NA
40a1368e-becd-4519-9d68-e9e623899425,NA,NA,NA
412b23df-71d7-4aa2-a5da-608faa4b61a8,NA,NA,NA
414024a6-dc96-4974-a46d-15a9263e1c51,NA,NA,NA
414f5bc8-e8a5-4a8b-8673-3745fc6a9de5,NA,NA,NA
41a2da4d-1f6b-4b79-a5ed-f647db02b35d,NA,NA,NA
41a7ff27-8fea-46e4-a7ae-3a4bcf8a9633,NA,NA,NA
43db4132-ef25-4786-a725-703df4651e0b,NA,NA,NA
444f7926-078e-4954-90f7-65b6fbdb688b,NA,NA,NA
44796f09-74d7-4ef3-89dc-aeb191538c38,No,No,NA
44a0b08c-323f-4722-b4d0-cf52506557b6,No,No,NA
44cd8030-a2db-4ff4-9137-05559663acd2,NA,NA,NA
45987c0f-60bf-4acb-88d8-c54631745221,NA,NA,NA
459b849d-2f8b-4740-8c09-0d4fd38633ca,NA,NA,NA
45d57e4a-412e-4fc7-bbf7-80f8655bf87e,Yes,Yes,NA
460517b7-3653-4203-8a76-89ac184b162c,NA,NA,NA
469e98a2-03d9-46b4-8f2c-b2e813eceb76,No,No,NA
471d2cf5-8c75-4444-b39b-177c3ed3cc52,NA,NA,NA
47c71121-2250-40d0-bad3-b453c4a601c9,NA,NA,NA
47e39cfb-8fa3-4c33-80e5-ba49a809f828,NA,NA,NA
49b93898-141f-48dd-b8b4-673ba543e01d,No,No,NA
49c1dcd9-4f93-455f-8408-ada6fe98ec57,NA,NA,NA
4a2aff4f-3689-41b9-a239-4253441658dd,NA,NA,NA
4b380563-eeeb-437e-bf9b-5baa9eba0281,NA,NA,NA
4bd5d3bc-b68d-437e-9eca-7544ad92137c,Yes,Yes,NA
4c59fe8e-1fa0-40ba-b939-79c53424c3c0,NA,NA,NA
4cd28bb5-b8e1-4fec-b307-50491a2d50c3,Yes,No,NA
4d4915c2-872a-488b-a3f9-cad7463f6a5f,NA,NA,NA
4fcb0e48-1cad-4cd9-9dc2-610e177aeb08,NA,NA,NA
518cae89-9038-4e2f-b51b-93f6cffc1652,Yes,No,NA
51b898df-85d5-4a4d-bfa7-fa723ae8715e,Yes,No,NA
52b046e9-77ba-41ed-bd4e-b56932e10407,NA,NA,NA
531af58f-7a86-4371-9269-1d92eb0e2ed4,NA,NA,NA
53527156-028a-490c-b2bc-70f51b5d2c9e,NA,NA,NA
536194bf-84e9-4934-8c40-c145d7d06c95,NA,NA,NA
53906a7d-dee8-4a6c-8ba2-abd0711ac4dd,NA,NA,NA
54841e22-e5af-488c-b91a-36e65645235e,NA,NA,NA
54e69aca-3181-46b1-9403-400a56956f53,No,No,NA
558f04db-f983-44ad-aadc-47c564e2bb3e,NA,NA,NA
569a9126-9d78-4d3d-9b8c-29c9861ae5f8,NA,NA,NA
57907af6-1b1d-4d5b-837a-9df9aeab11e2,NA,NA,NA
58ad1795-05b1-46fd-b650-ebea7eb22f67,No,No,NA
5933dd02-d9e9-4ce0-9cff-7c00ecee5547,No,No,NA
593e6aa3-0a3c-441d-91b2-61d944da9b08,NA,NA,NA
5a221f25-c5ad-47ac-af6b-c42419e91ddb,NA,NA,NA
5a67fe46-072b-41a8-b85a-f2e5201ef8bf,No,No,NA
5ad592d0-264b-4d6c-beac-0c0ecfe3f37a,No,No,NA
5ade809b-f354-4682-8ef2-52d46ce6d09a,Yes,No,NA
5bbb928a-8089-4eee-a243-3270381e0ce0,NA,NA,NA
5c69fddb-8d2e-4508-9945-a806ca5417dd,No,No,NA
5f3b5eca-9ced-41a8-8b0a-9cf97058b073,NA,NA,NA
60ed4f4c-ee7d-4918-81e3-16b8fa6a01c7,No,No,NA
611401ac-ec64-4949-874e-5b9377fb8b09,No,No,NA
628f6e0a-4d68-41b4-8e58-544856f36d10,NA,NA,NA
62a97527-4925-4cd0-b6c8-f67206a58985,NA,NA,NA
62ab9744-d481-40ad-bda6-a6fd13d2bc5d,No,No,NA
62daca93-7003-4977-a81b-e49464e3e39e,NA,NA,NA
63d49d9e-d973-46f1-91d0-b1ca41848898,NA,NA,NA
6485143d-265d-4167-a84c-fc4c595c290d,NA,NA,NA
64a64af5-b60a-4c96-8e5d-beb50664e26d,NA,NA,NA
64d749d0-cfb5-49ed-b527-48e68d1d44b1,No,No,NA
66a608e6-3a4e-4ec9-8f98-496de6a97268,NA,NA,NA
68232b67-8986-4583-bd0c-51d1fc73b0ee,Yes,Yes,NA
683a9620-29a8-43fc-bbda-d5cb0b61c277,NA,NA,NA
68ed1f6b-d82e-471b-8502-ee3ee4bc97ee,Yes,Yes,NA
6915bd0f-6bf1-433f-8dc7-fd08c7cb25b4,NA,NA,NA
69302841-27c8-4e4c-a35c-860c303da6db,NA,NA,NA
69358537-332e-4e7c-9b34-93620d70f18a,No,No,NA
6964fcaf-a331-42c1-a18d-d6096887a0f2,No,No,NA
6a140c1e-55fc-4af1-b7fb-2e546f5c6523,No,No,NA
6ad4fa2d-3456-45b7-b50f-4e10b39a0812,No,No,NA
6bc27bed-8ee9-4616-bddf-562757726f9a,No,No,NA
6c33495f-1a05-4071-9402-cb2b8cc142ee,NA,NA,NA
6e0aafe2-ad6a-4e4d-a281-b14dac9c18c2,Yes,Yes,NA
6e6fd791-3b37-4cf7-8ed0-af2399366d26,NA,NA,NA
6f9e5fae-0117-48a5-8880-a7945de02008,No,No,NA
70b3a840-2fcb-48dd-983e-6d73d7563da7,Yes,Yes,NA
717c7e0e-87e5-4f36-8d70-0166038d969f,NA,NA,NA
71981c4f-0ef8-4c6d-b4b1-32aa4d4c90c6,NA,NA,NA
7245db31-b987-425d-a4bf-91fcbb7e6ed3,NA,NA,NA
72ba4f29-c3c3-4c46-813b-e80e0473bb69,NA,NA,NA
7492f2cc-0113-4e1d-b4cf-3d893a2f14bb,No,No,NA
74dcf5f6-62f8-42ae-ae1d-c906ce7085db,NA,NA,NA
751f2fc7-7364-40b5-b954-0309e032e916,Yes,Yes,NA
75a2163f-e9ab-42c0-a474-96759b2b9fbf,NA,NA,NA
75e5db71-1fc8-437e-a7bd-440c7d6fd12b,No,No,NA
76732764-ef00-48aa-9c5b-b7a1fc705c81,NA,NA,NA
76e0122b-f304-4c2c-81af-6524ed70a96e,No,No,NA
782960f7-5d10-4d9c-b55d-e411e532d16e,NA,NA,NA
784467c4-690d-45a5-858e-3f4abc855fc2,NA,NA,NA
789662e5-fa7c-4632-87a4-6b618903d46e,No,No,NA
792fb2ba-d411-415d-8ca1-773c22cbbb47,NA,NA,NA
79428583-6132-45cc-aca2-c67ed458580b,Yes,Yes,NA
79c1f687-6d8b-4a3d-a7ae-20397e4d7f61,NA,NA,NA
7a074aaa-3e0e-4b62-8a24-15042fbc6f62,No,No,NA
7a1dc1e1-e482-4208-b4bf-6654fe57a7dd,No,No,NA
7a29f27c-d540-4ec4-9d2b-d73087f96f4f,NA,NA,NA
7a35ff8a-7201-49ba-b0c3-a9ab2f70ad32,No,No,NA
7a4ac986-b149-40a9-a75a-7c10ddd908b3,NA,NA,NA
7a811a40-8376-4442-becb-f36227b0eaa7,NA,NA,NA
7ae1bda5-a511-4071-987b-bc244da76f19,NA,NA,NA
7bd1a812-c538-46a3-b015-309bea02fc80,NA,NA,NA
7c7c12a8-a0b5-46f9-9e0c-d74f4630a404,No,No,NA
7cd8da56-eca5-4638-8121-695848dcfbe0,NA,NA,NA
7e86cb60-901c-4efc-ac33-4026b5544134,Yes,No,NA
7f60d361-28e9-4fe7-92c2-cff609d02f77,Yes,No,NA
7f9a037b-167d-428d-90a6-f705d7b3742d,NA,NA,NA
7fdcc3e1-eeb4-47b1-b2c8-d2c79673583c,No,No,NA
