subject,experiment,intervention_medium,source_valence,experiment_condition,exclude_subject,age,gender,IAT_D2,IAT_D2_recoded_for_stimulus_identity,mean_self_reported_evaluation,mean_self_reported_evaluation_recoded_for_stimulus_identity,memory_of_video_content,diagnosticity_question,demand,reactance,hypothesis_awareness,influence_awareness,issues_with_study,aot_actively_openminded_thinking_pomp,bcti_belief_in_conspiracy_pomp,crt_analytic_thinking_pomp,ocq_overclaiming_pomp,ras_relgious_affliation_pomp,rei_rational_pomp,rei_experiential_pomp,me_fake_news_awareness_pomp,me_real_news_awareness_pomp,me_fake_news_accuracy_pomp,me_real_news_accuracy_pomp,me_fake_news_sharing_pomp,me_real_news_sharing_pomp,education,employment,education_recoded,income,income_recoded,political_ideology_identity,political_ideology_social_issues,political_ideology_economic_issues,religious_affiliation_general,religious_affiliation_general_recoded,passed_iat_performance,complete_iat_data,complete_selfreport_data,task_order,iat_block_order
c1c506b8-c780-4ed8-9701-ab81f5f87047,4,audio,negative,deepfaked,FALSE,20,male,-0.21,0.21,0.67,-0.67,NA,1,0,0,NA,NA,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-inconsistent block first
c2ec2118-9ba7-4a07-9448-a6db2b7c9308,4,audio,negative,deepfaked,FALSE,48,male,0.475,-0.475,-1.67,1.67,NA,2,0,0,NA,0,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-inconsistent block first
c3eb78fe-13eb-4321-91a0-fe07a0ab6a74,4,audio,positive,deepfaked,FALSE,49,female,0.229,0.229,0.67,0.67,NA,1,0,0,NA,NA,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-consistent block first
c523f819-08aa-4ed0-8446-4e556dff2017,4,audio,negative,deepfaked,TRUE,33,female,0.079,-0.079,-3,3,NA,3,0,0,NA,1,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,complete,complete,IAT first,training-inconsistent block first
c6261ae0-c233-4cbc-9484-964cab91b2c9,4,audio,negative,deepfaked,FALSE,31,female,0.116,-0.116,0.33,-0.33,NA,2,0,0,NA,1,no issue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-inconsistent block first
c817e618-6dac-46be-88db-89e91123a645,4,audio,positive,deepfaked,FALSE,31,male,0.604,0.604,1,1,NA,1,0,0,NA,1,No issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-consistent block first
c8dfc5fd-a208-4a17-9624-209297ec1568,4,audio,positive,deepfaked,FALSE,32,female,0.122,0.122,1,1,NA,2,0,0,NA,NA,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-consistent block first
c9ff8085-1a82-4930-9741-3a9d6386f6ca,4,audio,negative,deepfaked,FALSE,24,female,0.617,-0.617,-0.67,0.67,NA,2,0,0,NA,1,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-inconsistent block first
ca6ed935-e297-46d3-ab8a-be7368720ab5,4,audio,positive,deepfaked,FALSE,42,male,0.731,0.731,2.33,2.33,NA,1,0,0,NA,1,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-consistent block first
cd379e4b-6759-4f34-a432-522a66d4642a,4,audio,positive,deepfaked,FALSE,30,female,0.476,0.476,0,0,NA,1,0,0,NA,0,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-consistent block first
cdcaed61-2021-4338-90e9-3cc6617ed783,4,audio,positive,deepfaked,FALSE,18,female,0.342,0.342,0,0,NA,1,0,0,NA,NA,"No issues
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-consistent block first
cdf308bc-2ca1-4ff3-bc6d-55ef73610704,4,audio,negative,deepfaked,FALSE,20,male,-0.322,0.322,-3,3,NA,2,0,0,NA,NA,No Issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-inconsistent block first
ce6dc65a-cef6-4302-8174-417483907a33,4,audio,negative,deepfaked,FALSE,23,female,-0.095,0.095,-2.33,2.33,NA,2,0,0,NA,NA,No issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-inconsistent block first
ce7524aa-3b52-4036-bdc4-a820e8c01f80,4,audio,positive,deepfaked,FALSE,49,male,0.318,0.318,1,1,NA,1,0,0,NA,NA,no issues.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-consistent block first
cf164bc7-8bf6-4229-abb3-a6fc4e615f5b,4,audio,positive,deepfaked,FALSE,27,male,0.35,0.35,1.67,1.67,NA,2,0,0,NA,1,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-consistent block first
d06f5d16-acf1-4e59-ae16-b88afa4c6012,4,audio,positive,deepfaked,FALSE,25,female,0.212,0.212,1,1,NA,0,0,0,NA,NA,No issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-consistent block first
d0a79b29-872e-4c92-9350-3071e37be7ba,4,audio,positive,deepfaked,TRUE,24,female,0.485,0.485,0.33,0.33,NA,0,0,0,NA,NA,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,complete,complete,self-report ratings first,training-consistent block first
d2beb722-92f2-4cba-99ed-aabe87c98145,4,audio,positive,deepfaked,FALSE,25,female,0.425,0.425,2.33,2.33,NA,3,0,0,NA,1,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-consistent block first
d314522b-b996-4f70-8415-86d38444964d,4,audio,negative,deepfaked,FALSE,20,male,0.439,-0.439,-2.67,2.67,NA,2,0,0,NA,1,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-inconsistent block first
d404c52a-3aca-45b9-847f-bc3c49f8f256,4,audio,negative,deepfaked,FALSE,23,male,0.027,-0.027,-0.67,0.67,NA,2,0,0,NA,NA,No issues at all.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-inconsistent block first
d4b74cc7-262b-4c3f-bcb1-8f94801dd9bc,4,audio,positive,deepfaked,FALSE,24,male,0.296,0.296,0,0,NA,1,0,0,NA,NA,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-consistent block first
d515039e-f31f-4589-9e4d-370e766591b2,4,audio,positive,deepfaked,TRUE,41,male,NA,NA,3,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,complete,self-report ratings first,training-consistent block first
d6ddd4a3-81c3-40b0-9e5e-8f1fe8da4861,4,audio,negative,deepfaked,FALSE,25,female,-0.101,0.101,-3,3,NA,3,0,0,NA,1,No issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-inconsistent block first
d909e0f9-119b-40ec-914e-cd37e3873509,4,audio,negative,deepfaked,FALSE,19,female,0.008,-0.008,-2,2,NA,2,0,0,NA,NA,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-inconsistent block first
da8b6a9d-2f29-48d4-b9d8-bb6435747fbf,4,audio,positive,deepfaked,FALSE,34,female,0.152,0.152,2.33,2.33,NA,2,0,0,NA,NA,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-consistent block first
dad02453-8d73-4fca-b958-06ef719de14e,4,audio,positive,deepfaked,FALSE,27,female,0.539,0.539,0.67,0.67,NA,1,0,0,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-consistent block first
dc505c6e-0a81-4dcc-bf11-ba2ab7359746,4,audio,positive,deepfaked,TRUE,41,male,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IAT first,training-consistent block first
de75a10c-3158-4d90-a477-1be276eab6fa,4,audio,negative,deepfaked,FALSE,18,male,0.107,-0.107,3,-3,NA,2,0,0,NA,1,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-inconsistent block first
e1967fbd-dea0-4e78-8f90-4ddc085e8834,4,audio,negative,deepfaked,FALSE,27,male,0.311,-0.311,-1.67,1.67,NA,2,0,0,NA,NA,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,IAT first,training-inconsistent block first
e1bc35ee-7c3d-4b54-82f3-51a5b5f768ba,4,audio,positive,deepfaked,FALSE,48,female,0.084,0.084,1.33,1.33,NA,1,0,0,NA,NA,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-consistent block first
e1e43c60-5c68-4502-9f91-d4f10000fbab,4,audio,positive,deepfaked,FALSE,50,female,0.197,0.197,0.33,0.33,NA,3,0,0,NA,1,no issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,complete,complete,self-report ratings first,training-consistent block first
