seed,effect_genuine_MAP,effect_genuine_95_CI_lower,effect_deepfaked_MAP,effect_deepfaked_95_CI_lower,effect_deepfaked_90_CI_lower,H1_genuine,H1_deepfaked,H2_noninferiority
49,1.266655634617335,1.0269984139461295,1.3139113484225953,1.0629322585317005,1.111379848560221,1,1,1
50,1.2497942892728962,1.009396858211166,1.2113066004898665,0.9734086380818573,1.0189619041665168,1,1,1
51,1.2872645266681166,1.0437787856480136,1.3580155398704965,1.0936155748869778,1.1300918282023737,1,1,1
52,1.34700962654074,1.1051544719696802,1.4097064463063287,1.1678861281783472,1.1938384333027616,1,1,1
53,1.4507011628020745,1.2055319366170494,1.6054176639704643,1.3421769283293843,1.3911037628426786,1,1,1
54,1.1899112328047567,0.9398176716789268,1.2301127603545008,1.011709058151113,1.0370915558546638,1,1,1
55,1.219383591025066,0.9788387348506937,1.431928611420368,1.188486557323688,1.2267162751508853,1,1,1
56,1.2713009023407231,1.026812189126473,1.4742232813807457,1.22053166596442,1.2587483272918978,1,1,1
57,1.1766133418595983,0.9135526773599509,1.3521260124779548,1.0751315082230974,1.1141019472106293,1,1,1
58,1.0881255078476035,0.8331224679882913,1.3259943553012716,1.0769104474529905,1.1174305067179207,1,1,1
59,1.140135323886057,0.8911145802433462,1.2649626923516752,1.0273493510135432,1.05884304005835,1,1,1
60,1.4959900041410163,1.2292943137223655,1.4083099793416602,1.164341306186763,1.2061752851340477,1,1,0
61,1.3081716304161688,1.0670245683339163,1.5042516530040304,1.2417586574497705,1.283240451025264,1,1,1
62,1.0897181713179172,0.8394105847135145,1.438981945478898,1.1890181543526197,1.2346456272700235,1,1,1
63,1.4727728881282114,1.254715836022187,1.3613139121078905,1.1193567841427672,1.1553169898139197,1,1,0
64,1.2557573697527697,1.0069775642701624,1.226125565568287,0.961659142060332,1.008329637116781,1,1,1
65,1.4132892715293617,1.1646697053519814,1.3465625179601481,1.097760492627104,1.1426586079990644,1,1,0
66,1.170091968767186,0.9191332329896162,1.4064329999595842,1.166883138206154,1.2093022405048504,1,1,1
67,1.4937017863128261,1.2340397084048225,1.3703001703366773,1.1366033229741999,1.1679380199064717,1,1,0
68,1.2827638847686853,1.0432982796458385,1.3049634198474511,1.0759856558897787,1.114723018166202,1,1,1
69,1.5120040328759008,1.2682079457741844,1.6727174413893857,1.4240438172803347,1.4632893759193184,1,1,1
70,1.109073315579671,0.8690634815179378,1.416220398350113,1.1613396722814313,1.2037075308337588,1,1,1
