seed,effect_genuine_MAP,effect_genuine_95_CI_lower,effect_deepfaked_MAP,effect_deepfaked_95_CI_lower,effect_deepfaked_90_CI_lower,H1_genuine,H1_deepfaked,H2_noninferiority
662,2.665249521714712,2.4454175404817207,2.8827196766157397,2.6652604945668523,2.7056723167407113,1,1,1
663,2.588328377296887,2.3868648558818557,2.8131216641953825,2.587229322731269,2.622806731862565,1,1,1
664,2.817562819354639,2.6061989003741193,2.9035195821759947,2.7016032472899716,2.7227142541016014,1,1,1
665,2.683065391566016,2.4607974563427777,2.695378185636903,2.483920574730646,2.5148192974424655,1,1,1
666,2.860519018809154,2.659261046425678,3.04159375901596,2.814867605296952,2.8571814518556318,1,1,1
667,2.808993669533582,2.6096015001133486,2.742713129927457,2.541821132759603,2.5759967471377334,1,1,0
668,2.6744436596924177,2.446353910234634,2.7296210801223157,2.5210421363618765,2.552128946394817,1,1,1
669,2.8109521516057074,2.591311299433067,2.8080206833965384,2.6093067882634564,2.6473426923032015,1,1,1
670,2.671606630091591,2.4616664359880733,2.749437705376103,2.5443619479823534,2.5751081857608935,1,1,1
671,2.8472429549097003,2.6434466424253023,3.0219470721460646,2.80601023034566,2.8464901983015185,1,1,1
672,2.63979278551893,2.427047392722699,2.9198889759831546,2.7072085488834086,2.7447446553152623,1,1,1
673,2.802359526563143,2.5949615005879916,2.667667408950914,2.4628669848986133,2.491107794858703,1,1,0
674,2.7531354283347285,2.5578900260585495,2.909145479401561,2.6951944624615085,2.731512283490761,1,1,1
675,2.810532789160443,2.5919022999658465,2.9718631889396256,2.747353256841928,2.7870887848978643,1,1,1
676,2.6190379821462084,2.4010174563714943,2.78592417762254,2.5823386934381367,2.604247376321968,1,1,1
677,2.560759991355773,2.3488867976639103,2.6747160058949135,2.451671433671077,2.4883029129812475,1,1,1
678,2.975532868096185,2.7577614167532536,2.8533334029175443,2.63673961657783,2.6800443530428626,1,1,0
679,2.860348108130999,2.654086436883907,2.8781773706842575,2.6588171561699143,2.701708319715051,1,1,1
680,2.782814603155276,2.5812558940577186,2.8475018241054757,2.654710679375278,2.679746758722107,1,1,1
681,2.761188834600988,2.5501375315849,2.8605613111398123,2.6586621843584943,2.6946695154680995,1,1,1
682,2.7828366869946186,2.5706109462359277,2.9486228216436445,2.738453830369112,2.776421082879185,1,1,1
683,2.662577118481626,2.4617161706275086,2.66518490313243,2.4348419366231813,2.4756086834813185,1,1,1
684,2.743558624546344,2.538307864715632,2.7581408426775442,2.5543713623288546,2.5883621425504932,1,1,1
685,2.66084780903633,2.444104966723487,2.5949617164801997,2.4009719674745553,2.422348382588875,1,1,0
686,2.741957259195024,2.5172773186659048,2.678838555285987,2.446003002288588,2.4846905120657548,1,1,0
687,2.7346413945581114,2.532935119787282,2.811302380925371,2.601212053734683,2.6313880080984435,1,1,1
688,2.865588298821777,2.6516281780946214,2.772533591120023,2.571990876193916,2.601294541897482,1,1,0
689,2.7738349501308917,2.59674869131751,2.9646531083279952,2.7574709148206926,2.7881701213313854,1,1,1
690,2.637888695830765,2.430890237065561,2.831581024967325,2.6320145366374574,2.659359208222284,1,1,1
691,2.593200834163742,2.364386786464951,2.632121687114218,2.4000483421766483,2.4419227828484193,1,1,1
692,2.766943002430806,2.5628450259078175,2.760220147096993,2.5311430673627826,2.568385151841539,1,1,1
693,2.954059186859288,2.7667325195297057,3.033599980679749,2.828037090713207,2.869186940256699,1,1,1
694,2.706891646352411,2.50225519781601,2.982059345780694,2.7713295348881766,2.8043052134617104,1,1,1
695,2.432301834418652,2.218258164471587,2.5201849115154715,2.3137955558785412,2.3508802591034885,1,1,1
696,2.877566874855424,2.6604549961182498,2.6885972892516623,2.469142268344261,2.5053582209094474,1,1,0
697,2.880111007191729,2.675277195044803,2.903383667376656,2.6823542334177,2.7133853392045864,1,1,1
698,2.561941047463924,2.3343030790200414,2.7689134707311203,2.544697102756849,2.5869865100166707,1,1,1
699,2.5791948484649287,2.37638434391865,2.6554503668952054,2.4562171707399316,2.482597647966757,1,1,1
700,2.6624769604300615,2.45461504399612,2.6397963687806905,2.4346556337439638,2.469948760437125,1,1,1
701,2.7295791418968496,2.5131443638128608,2.9056298981474504,2.6816800908778284,2.7124760902951994,1,1,1
702,2.81943516124644,2.621439481872679,2.9761929028581564,2.74254843450147,2.7786959242397518,1,1,1
703,2.762650681046334,2.541765564522973,2.809873632937001,2.596786546911375,2.6314616735219603,1,1,1
704,2.7142538592762433,2.4853102466725474,2.7940789087405244,2.5661430279016435,2.6097110561492545,1,1,1
705,2.7030823115747786,2.4977822278098323,2.7671176856281265,2.5505820158969894,2.584317182943358,1,1,1
706,2.7482350814327074,2.533123019188702,2.792501824902287,2.5904134852032263,2.6168334538716214,1,1,1
707,2.6615048633853746,2.44424697055373,2.7201701490187604,2.5265254181594448,2.5650147994669137,1,1,1
708,2.6743091614912444,2.468663354880221,2.863337736794697,2.639983362717846,2.67107885921274,1,1,1
709,2.6328377607415177,2.4309377790638105,2.834445032266376,2.6333458743531084,2.6603252141019658,1,1,1
710,2.7003893408595485,2.4936485649948827,2.9134732438483226,2.7181410410855587,2.7505336137998198,1,1,1
711,2.647367913231845,2.452137260752309,2.6463840600703445,2.4319408408897862,2.463803993559769,1,1,1
712,2.594468301448808,2.3795397096407984,2.784391000381218,2.5764275791058764,2.615002753252835,1,1,1
713,2.778460104860774,2.557308342683352,2.876958262876607,2.6613354811610783,2.701206993422622,1,1,1
714,2.5830274104552977,2.358904008381029,2.788407000669429,2.5606046222582153,2.6016121919727206,1,1,1
715,2.7927832864337185,2.5802592735537897,2.8682952295514053,2.6509292038992944,2.689492187408951,1,1,1
716,2.5379200147473964,2.340119148792434,2.658374835909826,2.4544429546799007,2.4850798335480846,1,1,1
717,2.7153893743370223,2.5101326643622475,2.94750454208922,2.725322487272786,2.760050493222552,1,1,1
718,2.9325622742519415,2.7087170330857155,2.7721754450541223,2.552048031420596,2.6011598326844814,1,1,0
719,2.8599349102941503,2.651739245404885,2.8436263298182727,2.628725325851697,2.6675965672289066,1,1,1
720,2.815783123305718,2.607364521680028,2.859073519528487,2.660726305716686,2.6993726291775406,1,1,1
721,2.8048033968355766,2.6118095993078296,2.934492348655222,2.7257097557018692,2.7599579684979614,1,1,1
722,2.6755189203409335,2.471077884343362,2.9342229337454286,2.7292238846424617,2.764464682378927,1,1,1
723,2.616025201315111,2.419614213391325,2.7600182088343943,2.545976543236252,2.585548117830783,1,1,1
724,2.5973477630725026,2.372439984190058,2.685336164610366,2.4757850738664837,2.5030448125819187,1,1,1
725,2.588814619801051,2.4067587012814142,2.705665507229256,2.501603940720751,2.5351855808918,1,1,1
726,2.596204574059133,2.3892480444599897,2.7757402679110874,2.5811681877486268,2.6036643674262594,1,1,1
727,2.6796135986957674,2.472238738731838,2.7939424372048234,2.575001718551431,2.6072968188774395,1,1,1
728,2.8369273602980187,2.626741085703091,2.8304400258460554,2.6448853452980368,2.679650182488945,1,1,1
729,2.7476190361902253,2.5393652253110597,2.8609876835038843,2.6506121160223532,2.6763262756050614,1,1,1
730,2.86304645997181,2.6870501269602824,2.809204818215861,2.602891511842399,2.63786430807399,1,1,0
731,2.488343216992335,2.2807263272318057,2.779193105432455,2.580331579055377,2.613828367071952,1,1,1
732,2.7158864958014415,2.5124822634522026,2.661964788115498,2.4550725419662203,2.4899682239781895,1,1,0
733,2.7446353312938494,2.560128880219398,2.8480409968823746,2.6246100115649114,2.668705455894136,1,1,1
